rank,item,repo_name,stars,forks,watchers,language,repo_url,username,pullRequests,milestones,issues,totalIssues,vulnerability,created,last_commit,description
18,C,jq,20979,1241,313,C,https://github.com/stedolan/jq,stedolan,534,10,590,1849,0,2012-07-18T19:57:25Z,2021-12-28T21:57:22Z,Command-line JSON processor
19,C,The-Art-Of-Programming-By-July,20202,7147,1890,C,https://github.com/julycoding/The-Art-Of-Programming-By-July,julycoding,343,0,47,130,0,2013-12-14T10:00:06Z,2021-12-28T12:07:59Z,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售
20,C,How-to-Make-a-Computer-Operating-System,19674,3359,1604,C,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse,95,1,44,71,0,2013-11-29T17:36:32Z,2021-12-28T14:39:53Z,How to Make a Computer Operating System in C++
1,CSharp,PowerToys,65472,3648,1014,C#,https://github.com/microsoft/PowerToys,microsoft,3269,17,2053,11885,0,2019-05-01T17:44:02Z,2021-12-28T23:20:18Z,Windows system utilities to maximize productivity
2,CSharp,shadowsocks-windows,53627,16216,2538,C#,https://github.com/shadowsocks/shadowsocks-windows,shadowsocks,474,4,63,2744,0,2013-01-14T07:54:16Z,2021-12-28T15:54:37Z,A C# port of shadowsocks
3,CSharp,PowerShell,31321,4995,1376,C#,https://github.com/PowerShell/PowerShell,PowerShell,6391,106,3095,9728,0,2016-01-13T23:41:35Z,2021-12-28T19:58:55Z,PowerShell for every system!
4,CSharp,aspnetcore,26874,7227,1454,C#,https://github.com/dotnet/aspnetcore,dotnet,11720,184,2141,24390,0,2014-03-11T06:09:42Z,2021-12-28T22:52:17Z,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux."
5,CSharp,v2rayN,24713,5243,518,C#,https://github.com/2dust/v2rayN,2dust,104,0,32,1759,0,2019-07-30T03:47:24Z,2021-12-28T18:08:32Z,
6,CSharp,CodeHub,23292,640,6767,C#,https://github.com/CodeHubApp/CodeHub,CodeHubApp,22,3,234,641,0,2013-07-23T22:19:57Z,2021-12-28T11:27:41Z,CodeHub is an iOS application written using Xamarin
7,CSharp,Wox,21154,2277,548,C#,https://github.com/Wox-launcher/Wox,Wox-launcher,446,6,764,3157,0,2013-12-19T15:49:32Z,2021-12-28T19:09:29Z,"Launcher for Windows, an alternative to Alfred and Launchy."
8,CSharp,dnSpy,19731,3729,895,C#,https://github.com/dnSpy/dnSpy,dnSpy,83,0,0,0,0,2015-07-01T16:05:10Z,2021-12-28T18:33:14Z,.NET debugger and assembly editor
9,CSharp,eShopOnContainers,19443,8275,1522,C#,https://github.com/dotnet-architecture/eShopOnContainers,dotnet-architecture,673,3,41,1089,0,2016-10-05T22:35:23Z,2021-12-28T21:52:01Z,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 6, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor."
